;date;n_sick;calls;n_duty;n_sby;sby_need;dafted;demand;n_sick_adj;demand_pred;calls_reg_pred;calls_reg_act_diff;month;year;dayofmonth;weekday;weekofyear;dayofyear;predict_day;season;day;status
0;2016-04-01;73;8154;1700;90;4;0;1631,0;82;1631;7059;1095;4;2016;1;4;13;92;2016-03-15;2;1;actual
1;2016-04-02;64;8526;1700;90;70;0;1706,0;72;1706;7060;1466;4;2016;2;5;13;93;2016-03-15;2;2;actual
2;2016-04-03;68;8088;1700;90;0;0;;76;1618;7062;1026;4;2016;3;6;13;94;2016-03-15;2;3;actual
3;2016-04-04;71;7044;1700;90;0;0;;79;1409;7063;-19;4;2016;4;0;14;95;2016-03-15;2;4;actual
4;2016-04-05;63;7236;1700;90;0;0;;70;1448;7065;171;4;2016;5;1;14;96;2016-03-15;2;5;actual
5;2016-04-06;70;6492;1700;90;0;0;;78;1299;7066;-574;4;2016;6;2;14;97;2016-03-15;2;6;actual
6;2016-04-07;64;6204;1700;90;0;0;;72;1241;7068;-864;4;2016;7;3;14;98;2016-03-15;2;7;actual
7;2016-04-08;62;7614;1700;90;0;0;;69;1523;7069;545;4;2016;8;4;14;99;2016-03-15;2;8;actual
8;2016-04-09;51;5706;1700;90;0;0;;57;1142;7071;-1365;4;2016;9;5;14;100;2016-03-15;2;9;actual
9;2016-04-10;54;6606;1700;90;0;0;;60;1322;7072;-466;4;2016;10;6;14;101;2016-03-15;2;10;actual
10;2016-04-11;50;6822;1700;90;0;0;;56;1365;7074;-252;4;2016;11;0;15;102;2016-03-15;2;11;actual
11;2016-04-12;49;6060;1700;90;0;0;;55;1212;7075;-1015;4;2016;12;1;15;103;2016-03-15;2;12;actual
12;2016-04-13;53;5964;1700;90;0;0;;59;1193;7077;-1113;4;2016;13;2;15;104;2016-03-15;2;13;actual
13;2016-04-14;52;5928;1700;90;0;0;;58;1186;7078;-1150;4;2016;14;3;15;105;2016-03-15;2;14;actual
14;2016-04-15;63;7608;1700;90;0;0;;70;1522;7080;528;4;2016;15;4;15;106;2016-03-15;2;15;actual
15;2016-04-16;55;6768;1700;90;0;0;;61;1354;7081;-313;4;2016;16;5;15;107;2016-03-15;2;16;actual
16;2016-04-17;51;7242;1700;90;0;0;;57;1449;7083;159;4;2016;17;6;15;108;2016-03-15;2;17;actual
