;date;n_sick;calls;n_duty;n_sby;sby_need;dafted;demand;n_sick_adj;demand_pred;calls_reg_pred;calls_reg_act_diff;month;year;dayofmonth;weekday;weekofyear;dayofyear;predict_day;season;day;status;randforest_pred;adaboost_pred
0;2016-04-01;73,0;8154,0;1700,0;90,0;4,0;0,0;1631,0;82,0;1631,0;7059,0;1095,0;4;2016;1;4;13;92;2016-03-15;2;1;actual;1653,6387886406128;1026,52
1;2016-04-02;64,0;8526,0;1700,0;90,0;70,0;0,0;1706,0;72,0;1706,0;7060,0;1466,0;4;2016;2;5;13;93;2016-03-15;2;2;actual;919,9431408192639;399,53409090909093
2;2016-04-03;68,0;8088,0;1700,0;90,0;0,0;0,0;;76,0;1618,0;7062,0;1026,0;4;2016;3;6;13;94;2016-03-15;2;3;actual;834,2636572585864;207,2363184079602
3;2016-04-04;71,0;7044,0;1700,0;90,0;0,0;0,0;;79,0;1409,0;7063,0;-19,0;4;2016;4;0;14;95;2016-03-15;2;4;actual;1243,0534952978094;1282,7219251336899
4;2016-04-05;63,0;7236,0;1700,0;90,0;0,0;0,0;;70,0;1448,0;7065,0;171,0;4;2016;5;1;14;96;2016-03-15;2;5;actual;1052,3880618192854;1083,23347107438
5;2016-04-06;70,0;6492,0;1700,0;90,0;0,0;0,0;;78,0;1299,0;7066,0;-574,0;4;2016;6;2;14;97;2016-03-15;2;6;actual;684,5743380576804;658,0626740947075
6;2016-04-07;64,0;6204,0;1700,0;90,0;0,0;0,0;;72,0;1241,0;7068,0;-864,0;4;2016;7;3;14;98;2016-03-15;2;7;actual;483,97115211999204;286,2258064516129
7;2016-04-08;62,0;7614,0;1700,0;90,0;0,0;0,0;;69,0;1523,0;7069,0;545,0;4;2016;8;4;14;99;2016-03-15;2;8;actual;268,5684411399712;139,79010494752623
8;2016-04-09;51,0;5706,0;1700,0;90,0;0,0;0,0;;57,0;1142,0;7071,0;-1365,0;4;2016;9;5;14;100;2016-03-15;2;9;actual;103,76962157435428;66,70391061452514
9;2016-04-10;54,0;6606,0;1700,0;90,0;0,0;0,0;;60,0;1322,0;7072,0;-466,0;4;2016;10;6;14;101;2016-03-15;2;10;actual;-175,4778097144856;-141,2206896551724
10;2016-04-11;50,0;6822,0;1700,0;90,0;0,0;0,0;;56,0;1365,0;7074,0;-252,0;4;2016;11;0;15;102;2016-03-15;2;11;actual;504,92419825590696;334,94336569579286
11;2016-04-12;49,0;6060,0;1700,0;90,0;0,0;0,0;;55,0;1212,0;7075,0;-1015,0;4;2016;12;1;15;103;2016-03-15;2;12;actual;492,36393251152214;322,09918699186994
12;2016-04-13;53,0;5964,0;1700,0;90,0;0,0;0,0;;59,0;1193,0;7077,0;-1113,0;4;2016;13;2;15;104;2016-03-15;2;13;actual;467,5850497155318;286,2258064516129
13;2016-04-14;52,0;5928,0;1700,0;90,0;0,0;0,0;;58,0;1186,0;7078,0;-1150,0;4;2016;14;3;15;105;2016-03-15;2;14;actual;374,9164481233667;201,18211920529802
14;2016-04-15;63,0;7608,0;1700,0;90,0;0,0;0,0;;70,0;1522,0;7080,0;528,0;4;2016;15;4;15;106;2016-03-15;2;15;actual;208,150624027049;8,873873873873874
15;2016-04-16;55,0;6768,0;1700,0;90,0;0,0;0,0;;61,0;1354,0;7081,0;-313,0;4;2016;16;5;15;107;2016-03-15;2;16;actual;87,01657839029458;-119,7186440677966
16;2016-04-17;51,0;7242,0;1700,0;90,0;0,0;0,0;;57,0;1449,0;7083,0;159,0;4;2016;17;6;15;108;2016-03-15;2;17;actual;-329,8115941346118;-583,1189320388349
17;2016-04-18;59,0;6768,0;1700,0;90,0;0,0;0,0;;66,0;1354,0;7084,0;-316,0;4;2016;18;0;16;109;2016-03-15;2;18;actual;474,3826214482938;277,30268199233717
18;2016-04-19;57,0;8676,0;1700,0;90,0;93,0;3,0;1736,0;64,0;1736,0;7086,0;1590,0;4;2016;19;1;16;110;2016-03-15;2;19;actual;469,73186448695293;277,30268199233717
19;2016-04-20;53,0;6270,0;1700,0;90,0;0,0;0,0;;59,0;1254,0;7087,0;-817,0;4;2016;20;2;16;111;2016-03-15;2;20;actual;438,1283976317518;159,17283950617283
20;2016-04-21;63,0;7818,0;1700,0;90,0;0,0;0,0;;70,0;1564,0;7089,0;729,0;4;2016;21;3;16;112;2016-03-15;2;21;actual;350,98950132185894;88,9
21;2016-04-22;68,0;5712,0;1700,0;90,0;0,0;0,0;;76,0;1143,0;7090,0;-1378,0;4;2016;22;4;16;113;2016-03-15;2;22;actual;84,59637620026854;-110,13865546218487
22;2016-04-23;62,0;5166,0;1700,0;90,0;0,0;0,0;;69,0;1034,0;7092,0;-1926,0;4;2016;23;5;16;114;2016-03-15;2;23;actual;-118,80891255280966;-514,6920152091254
23;2016-04-24;71,0;4884,0;1700,0;90,0;0,0;0,0;;79,0;977,0;7093,0;-2209,0;4;2016;24;6;16;115;2016-03-15;2;24;actual;-430,57748180874563;-841,6352040816327
24;2016-04-25;72,0;5880,0;1700,0;90,0;0,0;0,0;;80,0;1176,0;7095,0;-1215,0;4;2016;25;0;17;116;2016-03-15;2;25;actual;442,11674279002614;215,0429906542056
